row,flag_DC,participant,Cond,Student,Major,CS3,Male,Age,@#B,@$B,@#ActuallyCorrect,Income,TaxOnIncome,IncomeMinusTax,Deduction1,Deduction2,SumDeduction,FinalPayment,OverReport,CheatedOnMatrixTax,Deductions,order_C,order_D,order_E,order_F,order_G,order_H,order_I,order_J,order_K,order_M,order_P,order_Q,order_R,order_S,order_T,order_W,order_X,order_Y,order_Z
1,0,2,0,1,Business,4,1,21,3,3,3,3,0.6,2.4,1.5,4,5.5,7.9,0,0,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,101,40,101,99,1,3,3,3,3
2,0,3,0,1,Clinical Laboratory Science,4,0,21,12,12,8,12,2.4,9.6,5,6,11,20.6,4,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,52,52,2,2,2,2,2
3,0,10,0,1,Dramatic Arts & Communication,3,0,20,7,7,3,7,1.4,5.6,4,7,11,16.6,4,1,11,NA,NA,3,NA,NA,NA,NA,NA,NA,30,4,100,54,53,3,1,1,1,1
4,0,13,0,1,Library Science,5,0,26,15,15,12,15,3,12,10,12,22,34,3,1,22,NA,NA,1,NA,NA,NA,NA,NA,NA,4,5,4,55,54,4,NA,NA,NA,NA
5,0,15,0,1,Environmental Sciences,5,1,22,17,17,15,17,3.4,13.6,12,12,24,37.6,2,1,24,NA,NA,2,NA,NA,NA,NA,NA,NA,31,6,5,56,55,5,NA,NA,NA,NA
6,0,19,0,1,Psychology,3,0,20,8,8,8,8,1.6,6.4,1.5,1.5,3,9.4,0,0,3,NA,NA,4,NA,NA,NA,NA,NA,NA,32,7,41,57,56,6,NA,NA,NA,NA
7,0,21,0,1,Psychology,5,1,23,7,7,7,7,1.4,5.6,3,5,8,13.6,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,8,42,58,57,7,NA,NA,NA,NA
8,0,24,0,1,African American Studies,4,0,23,16,16,1,16,3.2,12.8,8,2.5,10.5,23.3,15,1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9,6,59,58,8,NA,NA,NA,NA
9,0,29,0,0,NA,NA,1,23,4,4,2,13,2.6,10.4,4,5,9,19.4,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,10,99,60,59,9,NA,NA,NA,NA
10,0,32,0,1,English,4,0,21,15,15,8,15,3,12,6,4,10,22,7,1,10,3,3,NA,NA,NA,NA,NA,NA,NA,6,11,7,61,60,10,NA,NA,NA,NA
11,0,33,0,1,Chemistry,2,1,19,17,17,17,17,3.4,13.6,3,0,3,16.6,0,0,3,1,1,NA,NA,NA,NA,NA,NA,NA,35,12,43,62,61,11,NA,NA,NA,NA
12,0,39,0,1,Business,3,0,20,18,18,15,18,3.6,14.4,4,6,10,24.4,3,1,10,2,2,NA,NA,NA,NA,NA,NA,NA,7,13,8,63,62,12,NA,NA,NA,NA
13,0,41,0,1,Communications,3,0,19,10,10,8,10,2,8,3,5,8,16,2,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,14,44,64,63,13,NA,NA,NA,NA
14,0,45,0,1,Business,3,1,20,13,13,13,13,2.6,10.4,2.5,2,4.5,14.9,0,0,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,15,45,65,64,14,NA,NA,NA,NA
15,0,47,0,1,Psychology,3,0,20,4,4,2,4,0.8,3.2,3,6,9,12.2,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,16,46,66,65,15,NA,NA,NA,NA
16,0,50,0,1,Accounting,5,1,28,12,12,12,12,2.4,9.6,3,4,7,16.6,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,17,93,4,4,16,NA,NA,NA,NA
17,0,53,0,1,Math,4,0,22,10,10,10,10,2,8,4,0,4,12,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,18,98,7,7,17,NA,NA,NA,NA
18,0,56,0,1,Political Science,3,1,20,16,16,12,16,3.2,12.8,9,4,13,25.8,4,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,9,10,10,18,NA,NA,NA,NA
