row,flag_DC,flag_SH,participant,Cond,SumDeduction,order_R,out_of_order,duplicated
1,0,1,2,0,5.5,33,XXX,
2,0,0,3,0,11,19,,
3,0,0,10,0,11,20,,
4,0,0,13,0,22,21,,
5,0,0,15,0,24,22,,
6,0,0,19,0,3,23,,
7,0,0,21,0,8,24,,
8,0,0,24,0,10.5,25,,
9,0,0,29,0,9,26,,
10,0,0,32,0,10,27,,
11,0,0,33,0,3,28,,
12,0,0,39,0,10,29,,
13,0,0,41,0,8,30,,
14,0,0,45,0,4.5,31,,
15,0,0,47,0,9,32,,
16,0,0,50,0,7,2,,
17,0,0,53,0,4,3,,
18,0,0,56,0,13,4,,
19,0,0,59,0,4,5,,
20,0,0,62,0,8,6,,
21,0,0,65,0,6,8,,
22,0,0,67,0,24,9,,
23,0,0,71,0,2.2,10,,
24,0,0,74,0,6,11,,
25,0,0,79,0,4,12,,
26,0,0,81,0,10,13,,
27,0,0,83,0,4,14,,
28,0,0,87,0,4.5,15,,
29,0,0,89,0,3,16,,
30,0,0,93,0,10.5,17,,
31,0,0,96,0,16,18,,
32,1,1,64,0,1,7,XXX,
33,0,1,100,0,3,1,XXX,
34,0,0,1,1,4,17,,
35,0,0,4,1,2,18,,
36,0,0,6,1,4,19,,
37,0,0,9,1,7,20,,
38,0,0,11,1,8,21,,
39,0,0,14,1,1,22,,
40,0,0,16,1,2,23,,
41,0,0,20,1,4,24,,
42,0,0,23,1,8,25,,
43,0,0,25,1,3,26,,
44,0,0,28,1,11.5,27,,
45,0,0,31,1,12,28,,
46,0,0,35,1,8,29,,
47,0,0,37,1,3,30,,
48,0,0,40,1,8,31,,
49,0,0,42,1,0.4,32,,
50,0,0,46,1,2,33,,
51,1,1,49,1,1.8,34,,XXX
52,1,1,49,1,1.8,2,XXX,XXX
53,0,0,55,1,6,4,,
54,0,0,58,1,5,5,,
55,0,0,61,1,3,6,,
56,0,0,63,1,0,7,,
57,0,0,68,1,12.5,8,,
58,0,0,70,1,6,9,,
59,0,0,73,1,6,10,,
60,0,0,76,1,3,11,,
61,0,0,80,1,4,12,,
62,0,0,82,1,2,13,,
63,0,0,85,1,11.5,14,,
64,0,0,88,1,16,15,,
65,0,0,95,1,16,16,,
66,1,1,51,1,0,3,XXX,
67,1,1,12,1,1,35,XXX,
68,1,1,101,1,1,1,XXX,
69,1,1,7,2,22,18,XXX,
70,1,1,91,2,20,14,XXX,
71,1,1,52,2,24,1,XXX,
72,0,0,5,2,3,19,,
73,0,0,8,2,12,20,,
74,0,0,13,2,16,21,,
75,0,0,17,2,3.5,22,,
76,0,0,18,2,2,23,,
77,0,0,22,2,12,24,,
78,0,0,26,2,0.3,25,,
79,0,0,27,2,6.6,26,,
80,0,0,30,2,5,27,,
81,0,0,34,2,12,28,,
82,0,0,36,2,1.5,29,,
83,0,0,38,2,11,30,,
84,0,0,43,2,10,31,,
85,0,0,44,2,14,32,,
86,0,0,48,2,11,33,,
87,0,0,54,2,10,2,,
88,0,0,57,2,4,3,,
89,0,0,60,2,11,4,,
90,0,0,66,2,5.5,5,,
91,0,0,69,2,4.5,6,,
92,0,0,72,2,2,7,,
93,0,0,75,2,9,8,,
94,0,0,77,2,14,9,,
95,0,0,78,2,2,10,,
96,0,0,84,2,17,11,,
97,0,0,86,2,12,12,,
98,0,0,90,2,17.5,13,,
99,0,0,92,2,9.5,15,,
100,0,0,94,2,5,16,,
101,0,0,97,2,8.7,17,,
